School name,ASP,AA,School Type,Regional council,Territorial authority,Financial Service Provider,Location
Waimate High School #362,BDO,Aaron Higham,Secondary - State,Canterbury Region,Waimate District,Solutions and Services,"-44.73745, 171.047272"
Saint Kevins College (Oamaru) #369,BDO,Aaron Higham,Secondary - State : Integrated,Otago Region,Waitaki District,Solutions and Services,"-45.064918, 170.983153"
Bayfield High School #382,BDO,Aaron Higham,Secondary - State,Otago Region,Dunedin City,Solutions and Services,"-45.895969, 170.523191"
Blue Mountain College #391,BDO,Aaron Higham,Secondary - State,Otago Region,Clutha District,Solutions and Services,"-45.939858, 169.258764"
Tokomairiro High School #392,BDO,Aaron Higham,Secondary - State,Otago Region,Clutha District,Solutions and Services,"-46.113193, 169.966921"
South Otago High School #393,BDO,Aaron Higham,Secondary - State,Otago Region,Clutha District,Solutions and Services,"-46.246237, 169.728524"
The Catlins Area School #394,BDO,Aaron Higham,Composite - State,Otago Region,Clutha District,Solutions and Services,"-46.45314, 169.661394"
Northern Southland College #395,BDO,Aaron Higham,Secondary - State,Southland Region,Southland District,Findex Ltd,"-45.744018, 168.448746"
Central Southland College #399,BDO,Aaron Higham,Secondary - State,Southland Region,Southland District,Education Finance,"-46.137197, 168.320121"
Menzies College #401,BDO,Aaron Higham,Secondary - State,Southland Region,Southland District,Solutions and Services,"-46.324828, 168.845934"
Southland Boys' High School #404,BDO,Aaron Higham,Secondary - State,Southland Region,Invercargill City,In-House provision,"-46.395635, 168.359101"
Southland Girls' High School #405,BDO,Aaron Higham,Secondary - State,Southland Region,Invercargill City,In-House provision,"-46.417471, 168.36516"
Aparima College #409,BDO,Aaron Higham,Secondary - State,Southland Region,Southland District,Solutions and Services,"-46.353612, 168.016613"
James Hargest College #552,BDO,Aaron Higham,Secondary - State,Southland Region,Invercargill City,Findex Ltd,"-46.390629, 168.384284"
Holy Family School (Wanaka) #557,BDO,Aaron Higham,Primary - State : Integrated,Otago Region,Queenstown-Lakes District,Solutions and Services,"-44.67979, 169.137627"
Te Kura Whakatipu O Kawarau #746,BDO,Aaron Higham,Primary - State,Otago Region,Queenstown-Lakes District,The School Office,"-45.067998, 168.745336"
Donovan Primary School #2119,BDO,Aaron Higham,Primary - State,Southland Region,Invercargill City,Solutions and Services,"-46.378906, 168.340624"
Te Kura Kaupapa Maori O Otepoti #2351,BDO,Aaron Higham,Composite - State - Kura/character,Otago Region,Dunedin City,Solutions and Services,"-45.900146, 170.410354"
Glenavy School #3348,BDO,Aaron Higham,Primary - State,Canterbury Region,Waimate District,Solutions and Services,"-44.914546, 171.098345"
Saint Andrews School #3519,BDO,Aaron Higham,Primary - State,Canterbury Region,Waimate District,Solutions and Services,"-44.528475, 171.188022"
Saint Patrick's School (Waimate) #3539,BDO,Aaron Higham,Primary - State : Integrated,Canterbury Region,Waimate District,Schooled - Christchurch,"-44.731442, 171.052432"
Waihao Downs School #3567,BDO,Aaron Higham,Primary - State,Canterbury Region,Waimate District,HC Partners Ltd,"-44.790963, 170.927483"
Waimate Centennial School #3573,BDO,Aaron Higham,Primary - State,Canterbury Region,Waimate District,On Point Accounting,"-44.729133, 171.038642"
Waimate Main School #3574,BDO,Aaron Higham,Primary - State,Canterbury Region,Waimate District,On Point Accounting,"-44.736306, 171.046665"
Clinton School #3723,BDO,Aaron Higham,Primary - State,Otago Region,Clutha District,Solutions and Services,"-46.200886, 169.381165"
Clutha Valley School #3724,BDO,Aaron Higham,Primary - State,Otago Region,Clutha District,Solutions and Services,"-46.09359, 169.550606"
Goldfields School #3741,BDO,Aaron Higham,Primary - State,Otago Region,Central Otago District,The School Office,"-45.043384, 169.186586"
Hampden School #3746,BDO,Aaron Higham,Primary - State,Otago Region,Waitaki District,Solutions and Services,"-45.325318, 170.815932"
Kaitangata School #3754,BDO,Aaron Higham,Primary - State,Otago Region,Clutha District,Solutions and Services,"-46.280569, 169.852561"
Milton School #3772,BDO,Aaron Higham,Primary - State,Otago Region,Clutha District,The School Office,"-46.113826, 169.962047"
Mornington School #3776,BDO,Aaron Higham,Primary - State,Otago Region,Dunedin City,Solutions and Services,"-45.882506, 170.475514"
Oamaru Intermediate #3784,BDO,Aaron Higham,Intermediate/Restricted Composite - State,Otago Region,Waitaki District,Solutions and Services,"-45.075693, 170.984299"
Palmerston School #3797,BDO,Aaron Higham,Primary - State,Otago Region,Waitaki District,Solutions and Services,"-45.481031, 170.719157"
Romahapa School #3811,BDO,Aaron Higham,Primary - State,Otago Region,Clutha District,The School Office,"-46.34561, 169.709372"
Rosebank School (Balclutha) #3812,BDO,Aaron Higham,Primary - State,Otago Region,Clutha District,Solutions and Services,"-46.246557, 169.72508"
Sawyers Bay School #3817,BDO,Aaron Higham,Primary - State,Otago Region,Dunedin City,Solutions and Services,"-45.819742, 170.601212"
Saint Joseph's School (Oamaru) #3825,BDO,Aaron Higham,Primary - State : Integrated,Otago Region,Waitaki District,Solutions and Services,"-45.092549, 170.970448"
Saint Joseph's School (Balclutha) #3826,BDO,Aaron Higham,Primary - State : Integrated,Otago Region,Clutha District,Solutions and Services,"-46.240837, 169.737186"
Saint Mary's School (Milton) #3831,BDO,Aaron Higham,Primary - State : Integrated,Otago Region,Clutha District,Solutions and Services,"-46.125212, 169.961282"
Saint Clair School #3835,BDO,Aaron Higham,Primary - State,Otago Region,Dunedin City,Solutions and Services,"-45.908179, 170.493124"
Stirling School #3836,BDO,Aaron Higham,Primary - State,Otago Region,Clutha District,Solutions and Services,"-46.248087, 169.779911"
Tahakopa School #3838,BDO,Aaron Higham,Primary - State,Otago Region,Clutha District,Education Finance,"-46.51086, 169.387905"
Tainui School #3841,BDO,Aaron Higham,Primary - State,Otago Region,Dunedin City,Solutions and Services,"-45.903233, 170.524692"
Tapanui School #3842,BDO,Aaron Higham,Primary - State,Otago Region,Clutha District,Solutions and Services,"-45.941742, 169.260477"
Tokoiti School #3845,BDO,Aaron Higham,Primary - State,Otago Region,Clutha District,The School Office,"-46.131623, 169.971265"
Waihola District School #3850,BDO,Aaron Higham,Primary - State,Otago Region,Clutha District,Solutions and Services,"-46.021197, 170.099846"
Waikouaiti School #3852,BDO,Aaron Higham,Primary - State,Otago Region,Dunedin City,Solutions and Services,"-45.596272, 170.673457"
Waiwera South School #3858,BDO,Aaron Higham,Primary - State,Otago Region,Clutha District,Solutions and Services,"-46.216283, 169.4894"
Warepa School #3861,BDO,Aaron Higham,Primary - State,Otago Region,Clutha District,Solutions and Services,"-46.269676, 169.622693"
Weston School #3864,BDO,Aaron Higham,Primary - State,Otago Region,Waitaki District,Solutions and Services,"-45.078621, 170.918495"
Hillside Primary School #3935,BDO,Aaron Higham,Primary - State,Southland Region,Southland District,Findex Ltd,"-46.149181, 168.422707"
Hauroko Valley Primary School #3938,BDO,Aaron Higham,Primary - State,Southland Region,Southland District,Education Finance,"-46.052018, 167.712473"
Dipton School #3943,BDO,Aaron Higham,Primary - State,Southland Region,Southland District,Education Finance,"-45.890633, 168.351316"
Edendale School (Southland) #3947,BDO,Aaron Higham,Primary - State,Southland Region,Southland District,Solutions and Services,"-46.311623, 168.782136"
Glenorchy School #3955,BDO,Aaron Higham,Primary - State,Otago Region,Queenstown-Lakes District,Solutions and Services,"-44.85065, 168.38703"
Halfmoon Bay School #3961,BDO,Aaron Higham,Primary - State,Southland Region,Southland District,Number Navigators,"-46.899076, 168.128157"
Hedgehope School #3964,BDO,Aaron Higham,Primary - State,Southland Region,Southland District,Findex Ltd,"-46.207473, 168.542016"
Invercargill Middle School #3966,BDO,Aaron Higham,Primary - State,Southland Region,Invercargill City,Solutions and Services,"-46.411325, 168.357545"
Windsor North School #3967,BDO,Aaron Higham,Primary - State,Southland Region,Invercargill City,Solutions and Services,"-46.39323, 168.366486"
Knapdale School #3973,BDO,Aaron Higham,Primary - State,Southland Region,Gore District,Education Finance,"-46.009975, 168.918606"
Limehills School #3975,BDO,Aaron Higham,Primary - State,Southland Region,Southland District,Education Finance,"-46.065238, 168.328799"
Lumsden School #3980,BDO,Aaron Higham,Primary - State,Southland Region,Southland District,Education Finance,"-45.740712, 168.448531"
Mararoa School #3984,BDO,Aaron Higham,Primary - State,Southland Region,Southland District,Education Finance,"-45.544994, 167.894436"
Myross Bush School #3991,BDO,Aaron Higham,Primary - State,Southland Region,Invercargill City,Jennifer Hay,"-46.37283, 168.417815"
Otama School #3997,BDO,Aaron Higham,Primary - State,Southland Region,Gore District,Maggie Turnhout,"-45.960151, 168.8666"
Otatara School #4000,BDO,Aaron Higham,Primary - State,Southland Region,Invercargill City,Schooled - Christchurch,"-46.431486, 168.29038"
Riversdale School #4007,BDO,Aaron Higham,Primary - State,Southland Region,Southland District,Solutions and Services,"-45.900912, 168.738412"
Sacred Heart School (Waikiwi) #4013,BDO,Aaron Higham,Primary - State : Integrated,Southland Region,Invercargill City,Maggie Turnhout,"-46.37023, 168.349381"
Saint Thomas School (Winton) #4023,BDO,Aaron Higham,Primary - State : Integrated,Southland Region,Southland District,Schooled - Christchurch,"-46.150501, 168.326634"
Te Anau School #4026,BDO,Aaron Higham,Primary - State,Southland Region,Southland District,Solutions and Services,"-45.413459, 167.718043"
Te Tipua School #4027,BDO,Aaron Higham,Primary - State,Southland Region,Southland District,Education Finance,"-46.185376, 168.762641"
Tokanui School #4030,BDO,Aaron Higham,Primary - State,Southland Region,Southland District,Solutions and Services,"-46.563166, 168.946581"
Tuturau Primary School #4032,BDO,Aaron Higham,Primary - State,Southland Region,Southland District,Solutions and Services,"-46.251607, 168.856132"
Waihopai School #4035,BDO,Aaron Higham,Primary - State,Southland Region,Invercargill City,Solutions and Services,"-46.395359, 168.354578"
Waikaka Primary School #4037,BDO,Aaron Higham,Primary - State,Southland Region,Gore District,Solutions and Services,"-45.92637, 169.017531"
Wallacetown School #4046,BDO,Aaron Higham,Primary - State,Southland Region,Southland District,Maggie Turnhout,"-46.332255, 168.289807"
Waverley Park School #4047,BDO,Aaron Higham,Primary - State,Southland Region,Invercargill City,Solutions and Services,"-46.396542, 168.384216"
Woodlands Full Primary School #4053,BDO,Aaron Higham,Primary - State,Southland Region,Southland District,Solutions and Services,"-46.35864, 168.558137"
Wyndham Primary School #4054,BDO,Aaron Higham,Primary - State,Southland Region,Southland District,Solutions and Services,"-46.324627, 168.843097"
Te Wharekura O Arowhenua #4217,BDO,Aaron Higham,Composite - State - Kura/character,Southland Region,Invercargill City,Solutions and Services,"-46.416528, 168.394643"
Tauraroa Area School #12,BDO,Adelle Wilson,Composite - State,Northland Region,Whangarei District,Ask Accounting,"-35.873069, 174.218169"
Kamo High School #13,BDO,Adelle Wilson,Secondary - State,Northland Region,Whangarei District,The School Office,"-35.684394, 174.302813"
Whangarei Girls' High School #16,BDO,Adelle Wilson,Secondary - State,Northland Region,Whangarei District,The School Office,"-35.713329, 174.319558"
Bream Bay College #20,BDO,Adelle Wilson,Secondary - State,Northland Region,Whangarei District,Education Services,"-35.876079, 174.455784"
Otamatea High School #21,BDO,Adelle Wilson,Secondary - State,Northland Region,Kaipara District,Edtech,"-36.117231, 174.365259"
Ruawai College #22,BDO,Adelle Wilson,Secondary - State,Northland Region,Kaipara District,Education Services,"-36.122571, 174.011673"
Aranga School #1001,BDO,Adelle Wilson,Primary - State,Northland Region,Kaipara District,Education Services,"-35.738759, 173.613785"
Dargaville Primary School #1009,BDO,Adelle Wilson,Primary - State,Northland Region,Kaipara District,Education Services,"-35.939306, 173.866881"
Kokopu School #1036,BDO,Adelle Wilson,Primary - State,Northland Region,Whangarei District,Education Services,"-35.707738, 174.139157"
Pakiri School #1074,BDO,Adelle Wilson,Primary - State,Auckland Region,Auckland - Rodney,Education Services,"-36.264923, 174.727024"
Tauhoa School #1107,BDO,Adelle Wilson,Primary - State,Auckland Region,Auckland - Rodney,Education Services,"-36.378084, 174.452893"
Wellsford School #1126,BDO,Adelle Wilson,Primary - State,Auckland Region,Auckland - Rodney,Edtech,"-36.284045, 174.515608"
Red Beach School #1194,BDO,Adelle Wilson,Primary - State,Auckland Region,Auckland - Hibiscus and Bays,Edtech,"-36.60918, 174.701332"
Mulberry Grove School #1385,BDO,Adelle Wilson,Primary - State,Auckland Region,Auckland - Great Barrier,Edtech,"-36.312636, 175.494822"
Okiwi School #1398,BDO,Adelle Wilson,Primary - State,Auckland Region,Auckland - Great Barrier,Edtech,"-36.154905, 175.394392"
Stanmore Bay School #1513,BDO,Adelle Wilson,Primary - State,Auckland Region,Auckland - Hibiscus and Bays,Education Finance,"-36.62347, 174.727916"
Waitoki School #1558,BDO,Adelle Wilson,Primary - State,Auckland Region,Auckland - Rodney,School Finance Hub,"-36.635456, 174.549547"
Warkworth School #1561,BDO,Adelle Wilson,Primary - State,Auckland Region,Auckland - Rodney,The School Office,"-36.397754, 174.656906"
Kaitoke School (Claris) #1593,BDO,Adelle Wilson,Primary - State,Auckland Region,Auckland - Great Barrier,Edtech,"-36.256771, 175.472761"
Snells Beach Primary School #6759,BDO,Adelle Wilson,Primary - State,Auckland Region,Auckland - Rodney,Ask Accounting,"-36.428453, 174.723704"
Whangaparaoa College #6763,BDO,Adelle Wilson,Secondary - State,Auckland Region,Auckland - Hibiscus and Bays,Schooled - Auckland East,"-36.632624, 174.745363"
Lakeview School #1659,AuditPLUS,Adrienne Dempsey,Primary - State,Wellington Region,Masterton District,Education Services,"-40.947899, 175.679087"
Douglas Park School #1661,AuditPLUS,Adrienne Dempsey,Primary - State,Wellington Region,Masterton District,Education NZ Ltd,"-40.945592, 175.646571"
Carterton School #2820,AuditPLUS,Adrienne Dempsey,Primary - State,Wellington Region,Carterton District,AMR Group Ltd,"-41.026465, 175.530685"
Dalefield School #2831,AuditPLUS,Adrienne Dempsey,Primary - State,Wellington Region,Carterton District,Education Services,"-41.025385, 175.477597"
Featherston School #2840,AuditPLUS,Adrienne Dempsey,Primary - State,Wellington Region,South Wairarapa District,Education Services,"-41.118632, 175.32675"
Fernridge School #2843,AuditPLUS,Adrienne Dempsey,Primary - State,Wellington Region,Masterton District,Education Services,"-40.933595, 175.615935"
Gladstone School (Masterton) #2845,AuditPLUS,Adrienne Dempsey,Primary - State,Wellington Region,Carterton District,Education Services,"-41.080437, 175.654504"
Greytown School #2850,AuditPLUS,Adrienne Dempsey,Primary - State,Wellington Region,South Wairarapa District,Accounting For Schools,"-41.082514, 175.460429"
Kahutara School #2868,AuditPLUS,Adrienne Dempsey,Primary - State,Wellington Region,South Wairarapa District,Education Services,"-41.227188, 175.340717"
Martinborough School #2906,AuditPLUS,Adrienne Dempsey,Primary - State,Wellington Region,South Wairarapa District,Education Services,"-41.218711, 175.452717"
Pirinoa School #2958,AuditPLUS,Adrienne Dempsey,Primary - State,Wellington Region,South Wairarapa District,Education Services,"-41.353011, 175.20479"
South End School #2992,AuditPLUS,Adrienne Dempsey,Primary - State,Wellington Region,Carterton District,Education Services,"-41.033977, 175.519194"
South Featherston School #2993,AuditPLUS,Adrienne Dempsey,Primary - State,Wellington Region,South Wairarapa District,Education Services,"-41.13851, 175.35182"
Tinui School #3041,AuditPLUS,Adrienne Dempsey,Primary - State,Wellington Region,Masterton District,Education Services,"-40.877917, 176.072881"
Whareama School #3070,AuditPLUS,Adrienne Dempsey,Primary - State,Wellington Region,Masterton District,Education Services,"-40.956185, 176.036352"
Botany Downs School #1235,Blackmore Virtue and Owens,Alex Houghton,Primary - State,Auckland Region,Auckland - Howick,Schooled - Auckland East,"-36.912085, 174.922774"
Dominion Road School #1261,Blackmore Virtue and Owens,Alex Houghton,Primary - State,Auckland Region,Auckland - Puketapapa,Schooled - Auckland East,"-36.904869, 174.743731"
Elm Park School #1269,Blackmore Virtue and Owens,Alex Houghton,Primary - State,Auckland Region,Auckland - Howick,Schooled - Auckland East,"-36.910383, 174.889952"
Glen Innes School #1287,Blackmore Virtue and Owens,Alex Houghton,Primary - State,Auckland Region,Auckland - Maungakiekie-Tamaki,Schooled - Auckland East,"-36.874151, 174.857045"
Hillsborough School #1313,Blackmore Virtue and Owens,Alex Houghton,Primary - State,Auckland Region,Auckland - Puketapapa,Schooled - Auckland East,"-36.923253, 174.757733"
Kingsford School #1333,Blackmore Virtue and Owens,Alex Houghton,Primary - State,Auckland Region,Auckland - Mangere-Otahuhu,Schooled - Auckland East,"-36.973509, 174.82739"
Mellons Bay School #1371,Blackmore Virtue and Owens,Alex Houghton,Primary - State,Auckland Region,Auckland - Howick,Schooled - Auckland East,"-36.886362, 174.931409"
MacLeans Primary School #1388,Blackmore Virtue and Owens,Alex Houghton,Primary - State,Auckland Region,Auckland - Howick,Schooled - Auckland East,"-36.888944, 174.912216"
Otahuhu School #1409,Blackmore Virtue and Owens,Alex Houghton,Primary - State,Auckland Region,Auckland - Mangere-Otahuhu,Schooled - Auckland East,"-36.942854, 174.839664"
Papatoetoe North School #1429,Blackmore Virtue and Owens,Alex Houghton,Primary - State,Auckland Region,Auckland - Otara-Papatoetoe,Schooled - Auckland East,"-36.971049, 174.835289"
Papatoetoe South School #1430,Blackmore Virtue and Owens,Alex Houghton,Primary - State,Auckland Region,Auckland - Otara-Papatoetoe,Schooled - Auckland East,"-36.988413, 174.853098"
Sutton Park School #1520,Blackmore Virtue and Owens,Alex Houghton,Primary - State,Auckland Region,Auckland - Mangere-Otahuhu,Schooled - Auckland East,"-36.957182, 174.821816"
Tamaki School #1526,Blackmore Virtue and Owens,Alex Houghton,Primary - State,Auckland Region,Auckland - Maungakiekie-Tamaki,Schooled - Auckland East,"-36.89468, 174.864557"
Wakaaranga School #1560,Blackmore Virtue and Owens,Alex Houghton,Primary - State,Auckland Region,Auckland - Howick,Schooled - Auckland East,"-36.89709, 174.894052"
Point View School #6921,Blackmore Virtue and Owens,Alex Houghton,Primary - State,Auckland Region,Auckland - Howick,Schooled - Auckland East,"-36.925916, 174.921715"
Karamea Area School #300,BDO,Amy Goodman,Composite - State,West Coast Region,Buller District,Solutions and Services,"-41.249398, 172.11611"
Mount Hutt College #348,BDO,Amy Goodman,Secondary - State,Canterbury Region,Ashburton District,Solutions and Services,"-43.637617, 171.650321"
Reefton Area School #496,BDO,Amy Goodman,Composite - State,West Coast Region,Buller District,Solutions and Services,"-42.115241, 171.860874"
Waitakiri Primary School #685,BDO,Amy Goodman,Primary - State,Canterbury Region,Christchurch City,Solutions and Services,"-43.488844, 172.683844"
Rawhiti School #696,BDO,Amy Goodman,Primary - State,Canterbury Region,Christchurch City,Geoff Gillam,"-43.496105, 172.717708"
Blenheim School #2811,BDO,Amy Goodman,Primary - State,Marlborough Region,Marlborough District,Education Services,"-41.510622, 173.954907"
Renwick School #2978,BDO,Amy Goodman,Primary - State,Marlborough Region,Marlborough District,Solutions and Services,"-41.5082, 173.831527"
Springlands School #2996,BDO,Amy Goodman,Primary - State,Marlborough Region,Marlborough District,Solutions and Services,"-41.507008, 173.932774"
Witherlea School #3075,BDO,Amy Goodman,Primary - State,Marlborough Region,Marlborough District,Solutions and Services,"-41.540592, 173.955381"
Granity School #3192,BDO,Amy Goodman,Primary - State,West Coast Region,Buller District,Unknown Service Provider,"-41.630018, 171.85248"
Westport North School #3235,BDO,Amy Goodman,Primary - State,West Coast Region,Buller District,Geoff Gillam,"-41.747607, 171.608397"
Westport South School #3236,BDO,Amy Goodman,Primary - State,West Coast Region,Buller District,Solutions and Services,"-41.76294, 171.608386"
Pītau-Allenvale School #3275,BDO,Amy Goodman,Special School - State,Canterbury Region,Christchurch City,Solutions and Services,"-43.499967, 172.598921"
Amberley School #3276,BDO,Amy Goodman,Primary - State,Canterbury Region,Hurunui District,Solutions and Services,"-43.152379, 172.723044"
Ashburton Borough School #3281,BDO,Amy Goodman,Primary - State,Canterbury Region,Ashburton District,Solutions and Services,"-43.9024, 171.742789"
Ashburton Intermediate #3282,BDO,Amy Goodman,Intermediate/Restricted Composite - State,Canterbury Region,Ashburton District,Solutions and Services,"-43.901069, 171.758827"
Ashburton Netherby School #3283,BDO,Amy Goodman,Primary - State,Canterbury Region,Ashburton District,Solutions and Services,"-43.896402, 171.765981"
Avonhead School #3287,BDO,Amy Goodman,Primary - State,Canterbury Region,Christchurch City,Solutions and Services,"-43.524102, 172.559497"
Bishopdale School #3293,BDO,Amy Goodman,Primary - State,Canterbury Region,Christchurch City,Schooled - Christchurch,"-43.486649, 172.596248"
Chertsey School #3313,BDO,Amy Goodman,Primary - State,Canterbury Region,Ashburton District,Schooled - Christchurch,"-43.804883, 171.93764"
Chisnallwood Intermediate #3314,BDO,Amy Goodman,Intermediate/Restricted Composite - State,Canterbury Region,Christchurch City,Schooled - Christchurch,"-43.509808, 172.688993"
Christchurch South Karamata Intermediate School #3318,BDO,Amy Goodman,Intermediate/Restricted Composite - State,Canterbury Region,Christchurch City,Schooled - Christchurch,"-43.552165, 172.625329"
Cotswold School #3324,BDO,Amy Goodman,Primary - State,Canterbury Region,Christchurch City,Solutions and Services,"-43.482458, 172.587178"
Dorie School #3329,BDO,Amy Goodman,Primary - State,Canterbury Region,Ashburton District,Schooled - Christchurch,"-43.865175, 172.11665"
Duvauchelle School #3332,BDO,Amy Goodman,Primary - State,Canterbury Region,Christchurch City,Solutions and Services,"-43.749671, 172.932045"
Fairton School #3336,BDO,Amy Goodman,Primary - State,Canterbury Region,Ashburton District,Solutions and Services,"-43.870492, 171.815595"
Fox Glacier School #3342,BDO,Amy Goodman,Primary - State,West Coast Region,Westland District,Schooled - Christchurch,"-43.462929, 170.008367"
Franz Josef Glacier School #3343,BDO,Amy Goodman,Primary - State,West Coast Region,Westland District,Schooled - Christchurch,"-43.374446, 170.180408"
Gilberthorpe School #3346,BDO,Amy Goodman,Primary - State,Canterbury Region,Christchurch City,Schooled - Christchurch,"-43.529738, 172.521344"
Governors Bay School #3354,BDO,Amy Goodman,Primary - State,Canterbury Region,Christchurch City,Solutions and Services,"-43.623986, 172.64999"
Greendale School #3357,BDO,Amy Goodman,Primary - State,Canterbury Region,Selwyn District,Geoff Gillam,"-43.572742, 172.083957"
Haast School #3363,BDO,Amy Goodman,Primary - State,West Coast Region,Westland District,Schooled - Christchurch,"-43.940784, 168.857148"
Hampstead School #3367,BDO,Amy Goodman,Primary - State,Canterbury Region,Ashburton District,Solutions and Services,"-43.912534, 171.760198"
Hanmer Springs School #3368,BDO,Amy Goodman,Primary - State,Canterbury Region,Hurunui District,Solutions and Services,"-42.521958, 172.831496"
Hapuku School #3369,BDO,Amy Goodman,Primary - State - Kura/character,Canterbury Region,Kaikoura District,Schooled - Christchurch,"-42.334217, 173.704972"
Harewood School #3370,BDO,Amy Goodman,Primary - State,Canterbury Region,Christchurch City,Geoff Gillam,"-43.479772, 172.559446"
Heathcote Valley School #3371,BDO,Amy Goodman,Primary - State,Canterbury Region,Christchurch City,Geoff Gillam,"-43.579876, 172.708878"
Heaton Normal Intermediate #3372,BDO,Amy Goodman,Intermediate/Restricted Composite - State,Canterbury Region,Christchurch City,Solutions and Services,"-43.510414, 172.615407"
Hinds School #3375,BDO,Amy Goodman,Primary - State,Canterbury Region,Ashburton District,On Point Accounting,"-44.000913, 171.565272"
Hororata School #3381,BDO,Amy Goodman,Primary - State,Canterbury Region,Selwyn District,Solutions and Services,"-43.53945, 171.959653"
Ilam School #3384,BDO,Amy Goodman,Primary - State,Canterbury Region,Christchurch City,Solutions and Services,"-43.526413, 172.579696"
Kaikoura Primary School #3391,BDO,Amy Goodman,Primary - State,Canterbury Region,Kaikoura District,Solutions and Services,"-42.408026, 173.684082"
Kaikoura Suburban School #3392,BDO,Amy Goodman,Primary - State,Canterbury Region,Kaikoura District,On Point Accounting,"-42.371694, 173.638327"
Kirkwood Intermediate #3396,BDO,Amy Goodman,Intermediate/Restricted Composite - State,Canterbury Region,Christchurch City,Schooled - Christchurch,"-43.530607, 172.585501"
Kokatahi - Kowhitirangi School #3398,BDO,Amy Goodman,Primary - State,West Coast Region,Westland District,Solutions and Services,"-42.834259, 171.03775"
Kumara School #3401,BDO,Amy Goodman,Primary - State,West Coast Region,Westland District,Geoff Gillam,"-42.635661, 171.187378"
Linwood Avenue School #3413,BDO,Amy Goodman,Primary - State,Canterbury Region,Christchurch City,Geoff Gillam,"-43.535284, 172.67488"
Merrin School #3434,BDO,Amy Goodman,Primary - State,Canterbury Region,Christchurch City,In-House provision,"-43.510497, 172.558579"
North Loburn School #3447,BDO,Amy Goodman,Primary - State,Canterbury Region,Waimakariri District,Unknown Service Provider,"-43.207605, 172.493841"
Ohoka School #3451,BDO,Amy Goodman,Primary - State,Canterbury Region,Waimakariri District,Geoff Gillam,"-43.370163, 172.590554"
Okains Bay School #3452,BDO,Amy Goodman,Primary - State,Canterbury Region,Christchurch City,Solutions and Services,"-43.708872, 173.042737"
Omihi School #3454,BDO,Amy Goodman,Primary - State,Canterbury Region,Hurunui District,Solutions and Services,"-43.022141, 172.853629"
Paroa School (Greymouth) #3472,BDO,Amy Goodman,Primary - State,West Coast Region,Grey District,Geoff Gillam,"-42.509697, 171.168468"
Prebbleton School #3478,BDO,Amy Goodman,Primary - State,Canterbury Region,Selwyn District,Schooled - Christchurch,"-43.577074, 172.513059"
Rangiora Borough School #3481,BDO,Amy Goodman,Primary - State,Canterbury Region,Waimakariri District,Geoff Gillam,"-43.30538, 172.590275"
Ross School #3489,BDO,Amy Goodman,Primary - State,West Coast Region,Westland District,Geoff Gillam,"-42.897857, 170.816761"
Rotherham School #3490,BDO,Amy Goodman,Primary - State,Canterbury Region,Hurunui District,Solutions and Services,"-42.698452, 172.944205"
Te Ara Maurea Roydvale School #3493,BDO,Amy Goodman,Primary - State,Canterbury Region,Christchurch City,Geoff Gillam,"-43.494484, 172.563148"
Sefton School #3501,BDO,Amy Goodman,Primary - State,Canterbury Region,Waimakariri District,Solutions and Services,"-43.246713, 172.672877"
Sheffield Contributing School #3502,BDO,Amy Goodman,Primary - State,Canterbury Region,Selwyn District,Solutions and Services,"-43.390946, 172.025361"
Somerfield Te Kura Wairepo  #3506,BDO,Amy Goodman,Primary - State,Canterbury Region,Christchurch City,Solutions and Services,"-43.561645, 172.628537"
Saint Joseph's School (Kaikoura) #3530,BDO,Amy Goodman,Primary - State : Integrated,Canterbury Region,Kaikoura District,Solutions and Services,"-42.399981, 173.675501"
Sumner School #3546,BDO,Amy Goodman,Primary - State,Canterbury Region,Christchurch City,Solutions and Services,"-43.573098, 172.759628"
Waitaha School #3554,BDO,Amy Goodman,Special School - State,Canterbury Region,Selwyn District,Solutions and Services,"-43.623432, 172.385925"
Templeton Primary School #3555,BDO,Amy Goodman,Primary - State,Canterbury Region,Christchurch City,Solutions and Services,"-43.550162, 172.472361"
Waiau School #3566,BDO,Amy Goodman,Primary - State,Canterbury Region,Hurunui District,Geoff Gillam,"-42.653683, 173.04201"
Waikari School #3569,BDO,Amy Goodman,Primary - State,Canterbury Region,Hurunui District,Geoff Gillam,"-42.969376, 172.700677"
Pegasus Bay School #3570,BDO,Amy Goodman,Primary - State,Canterbury Region,Waimakariri District,Geoff Gillam,"-43.314909, 172.692266"
Waipara Primary School #3576,BDO,Amy Goodman,Primary - State,Canterbury Region,Hurunui District,Geoff Gillam,"-43.053621, 172.762053"
Yaldhurst Model School #3602,BDO,Amy Goodman,Primary - State,Canterbury Region,Christchurch City,Schooled - Christchurch,"-43.510194, 172.502189"
Lemonwood Grove School #6967,BDO,Amy Goodman,Primary - State,Canterbury Region,Selwyn District,Solutions and Services,"-43.622673, 172.386021"
Kaipara College #26,Moore Markhams Wellington Audit,Andrew Steel,Secondary - State,Auckland Region,Auckland - Rodney,Schooled - Auckland West,"-36.680156, 174.459138"
Upper Hutt College #250,Moore Markhams Wellington Audit,Andrew Steel,Secondary - State,Wellington Region,Upper Hutt City,Accounting For Schools,"-41.126202, 175.040548"
